Date, Close/Last
3/18/19,188.02
3/19/19,186.53
3/20/19,188.16
3/21/19,195.09
3/22/19,191.05
3/25/19,188.74
3/26/19,186.79
3/27/19,188.47
3/28/19,188.72
3/29/19,189.95
4/1/19,191.24
4/2/19,194.02
4/3/19,195.35
4/4/19,195.69
4/5/19,197.00
4/8/19,200.10
4/9/19,199.50
4/10/19,200.62
4/11/19,198.95
4/12/19,198.87
4/15/19,199.23
4/16/19,199.25
4/17/19,203.13
4/18/19,203.86
4/22/19,204.53
4/23/19,207.48
4/24/19,207.16
4/25/19,205.28
4/26/19,204.30
4/29/19,204.61
4/30/19,200.67
5/1/19,210.52
5/2/19,209.15
5/3/19,211.75
5/6/19,208.48
5/7/19,202.86
5/8/19,202.90
5/9/19,200.72
5/10/19,197.18
5/13/19,185.72
5/14/19,188.66
5/15/19,190.92
5/16/19,190.08
5/17/19,189.00
5/20/19,183.09
5/21/19,186.60
5/22/19,182.78
5/23/19,179.66
5/24/19,178.97
5/28/19,178.23
5/29/19,177.38
5/30/19,178.30
5/31/19,175.07
6/3/19,173.30
6/4/19,179.64
6/5/19,182.54
6/6/19,185.22
6/7/19,190.15
6/10/19,192.58
6/11/19,194.81
6/12/19,194.19
6/13/19,194.15
6/14/19,192.74
6/17/19,193.89
6/18/19,198.45
6/19/19,197.87
6/20/19,199.46
6/21/19,198.78
6/24/19,198.58
6/25/19,195.57
6/26/19,199.80
6/27/19,199.74
6/28/19,197.92
7/1/19,201.55
7/2/19,202.73
7/3/19,204.41
7/5/19,204.23
7/8/19,200.02
7/9/19,201.24
7/10/19,203.23
7/11/19,201.75
7/12/19,203.30
7/15/19,205.21
7/16/19,204.50
7/17/19,203.35
7/18/19,205.66
7/19/19,202.59
7/22/19,207.22
7/23/19,208.84
7/24/19,208.67
7/25/19,207.02
7/26/19,207.74
7/29/19,209.68
7/30/19,208.78
7/31/19,213.04
8/1/19,208.43
8/2/19,204.02
8/5/19,193.34
8/6/19,197.00
8/7/19,199.04
8/8/19,203.43
8/9/19,200.99
8/12/19,200.48
8/13/19,208.97
8/14/19,202.75
8/15/19,201.74
8/16/19,206.50
8/19/19,210.35
8/20/19,210.36
8/21/19,212.64
8/22/19,212.46
8/23/19,202.64
8/26/19,206.49
8/27/19,204.16
8/28/19,205.53
8/29/19,209.01
8/30/19,208.74
9/3/19,205.70
9/4/19,209.19
9/5/19,213.28
9/6/19,213.26
9/9/19,214.17
9/10/19,216.70
9/11/19,223.59
9/12/19,223.09
9/13/19,218.75
9/16/19,219.90
9/17/19,220.70
9/18/19,222.77
9/19/19,220.96
9/20/19,217.73
9/23/19,218.72
9/24/19,217.68
9/25/19,221.03
9/26/19,219.89
9/27/19,218.82
9/30/19,223.97
10/1/19,224.59
10/2/19,218.96
10/3/19,220.82
10/4/19,227.01
10/7/19,227.06
10/8/19,224.40
10/9/19,227.03
10/10/19,230.09
10/11/19,236.21
10/14/19,235.87
10/15/19,235.32
10/16/19,234.37
10/17/19,235.28
10/18/19,236.41
10/21/19,240.51
10/22/19,239.96
10/23/19,243.18
10/24/19,243.58
10/25/19,246.58
10/28/19,249.05
10/29/19,243.29
10/30/19,243.26
10/31/19,248.76
11/1/19,255.82
11/4/19,257.50
11/5/19,257.13
11/6/19,257.24
11/7/19,259.43
11/8/19,260.14
11/11/19,262.20
11/12/19,261.96
11/13/19,264.47
11/14/19,262.64
11/15/19,265.76
11/18/19,267.10
11/19/19,266.29
11/20/19,263.19
11/21/19,262.01
11/22/19,261.78
11/25/19,266.37
11/26/19,264.29
11/27/19,267.84
11/29/19,267.25
12/2/19,264.16
12/3/19,259.45
12/4/19,261.74
12/5/19,265.58
12/6/19,270.71
12/9/19,266.92
12/10/19,268.48
12/11/19,270.77
12/12/19,271.46
12/13/19,275.15
12/16/19,279.86
12/17/19,280.41
12/18/19,279.74
12/19/19,280.02
12/20/19,279.44
12/23/19,284.00
12/24/19,284.27
12/26/19,289.91
12/27/19,289.80
12/30/19,291.52
12/31/19,293.65
1/2/20,300.35
1/3/20,297.43
1/6/20,299.80
1/7/20,298.39
1/8/20,303.19
1/9/20,309.63
1/10/20,310.33
1/13/20,316.96
1/14/20,312.68
1/15/20,311.34
1/16/20,315.24
1/17/20,318.73
1/21/20,316.57
1/22/20,317.70
1/23/20,319.23
1/24/20,318.31
1/27/20,308.95
1/28/20,317.69
1/29/20,324.34
1/30/20,323.87
1/31/20,309.51
2/3/20,308.66
2/4/20,318.85
2/5/20,321.45
2/6/20,325.21
2/7/20,320.03
2/10/20,321.55
2/11/20,319.61
2/12/20,327.20
2/13/20,324.87
2/14/20,324.95
2/18/20,319.00
2/19/20,323.62
2/20/20,320.30
2/21/20,313.05
2/24/20,298.18
2/25/20,288.08
2/26/20,292.65
2/27/20,273.52
2/28/20,273.36
3/2/20,298.81
3/3/20,289.32
3/4/20,302.74
3/5/20,292.92
3/6/20,289.03
3/9/20,266.17
3/10/20,285.34
3/11/20,275.43
3/12/20,248.23
3/13/20,277.97